FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Date
1,Alabama,1976,1,2605000.0,1486509.0,57.1,1387606.0,53.3,98903.0,6.7,1976-01-01
2,Alaska,1976,1,232000.0,160709.0,69.3,149226.0,64.3,11483.0,7.1,1976-01-01
4,Arizona,1976,1,1621000.0,963980.0,59.5,865261.0,53.4,98719.0,10.2,1976-01-01
5,Arkansas,1976,1,1536000.0,889912.0,57.9,825233.0,53.7,64679.0,7.3,1976-01-01
6,California,1976,1,15621000.0,9770553.0,62.5,8873133.0,56.8,897420.0,9.2,1976-01-01
37,Los Angeles County,1976,1,5273000.0,3371503.0,63.9,3072632.0,58.3,298871.0,8.9,1976-01-01
8,Colorado,1976,1,1832000.0,1232215.0,67.3,1161075.0,63.4,71140.0,5.8,1976-01-01
9,Connecticut,1976,1,2248000.0,1440708.0,64.1,1301224.0,57.9,139484.0,9.7,1976-01-01
10,Delaware,1976,1,417000.0,261577.0,62.7,240636.0,57.7,20941.0,8.0,1976-01-01
11,District of Columbia,1976,1,520000.0,334885.0,64.4,305475.0,58.7,29410.0,8.8,1976-01-01
12,Florida,1976,1,6421000.0,3582095.0,55.8,3236530.0,50.4,345565.0,9.6,1976-01-01
13,Georgia,1976,1,3522000.0,2245347.0,63.8,2057594.0,58.4,187753.0,8.4,1976-01-01
15,Hawaii,1976,1,583000.0,407611.0,69.9,368546.0,63.2,39065.0,9.6,1976-01-01
16,Idaho,1976,1,580000.0,366151.0,63.1,345739.0,59.6,20412.0,5.6,1976-01-01
17,Illinois,1976,1,8127000.0,5124965.0,63.1,4785909.0,58.9,339056.0,6.6,1976-01-01
18,Indiana,1976,1,3789000.0,2425548.0,64.0,2266110.0,59.8,159438.0,6.6,1976-01-01
19,Iowa,1976,1,2066000.0,1330037.0,64.4,1271761.0,61.6,58276.0,4.4,1976-01-01
20,Kansas,1976,1,1635000.0,1066303.0,65.2,1021475.0,62.5,44828.0,4.2,1976-01-01
21,Kentucky,1976,1,2459000.0,1487555.0,60.5,1403925.0,57.1,83630.0,5.6,1976-01-01
22,Louisiana,1976,1,2672000.0,1519104.0,56.9,1422795.0,53.2,96309.0,6.3,1976-01-01
23,Maine,1976,1,764000.0,474334.0,62.1,433277.0,56.7,41057.0,8.7,1976-01-01
24,Maryland,1976,1,2954000.0,1898335.0,64.3,1775111.0,60.1,123224.0,6.5,1976-01-01
25,Massachusetts,1976,1,4194000.0,2717090.0,64.8,2430186.0,57.9,286904.0,10.6,1976-01-01
26,Michigan,1976,1,6417000.0,3952109.0,61.6,3561309.0,55.5,390800.0,9.9,1976-01-01
27,Minnesota,1976,1,2788000.0,1826878.0,65.5,1719782.0,61.7,107096.0,5.9,1976-01-01
28,Mississippi,1976,1,1640000.0,963896.0,58.8,899810.0,54.9,64086.0,6.6,1976-01-01
29,Missouri,1976,1,3464000.0,2095842.0,60.5,1969730.0,56.9,126112.0,6.0,1976-01-01
30,Montana,1976,1,531000.0,332098.0,62.5,312404.0,58.8,19694.0,5.9,1976-01-01
31,Nebraska,1976,1,1095000.0,708795.0,64.7,685821.0,62.6,22974.0,3.2,1976-01-01
32,Nevada,1976,1,451000.0,321823.0,71.4,292292.0,64.8,29531.0,9.2,1976-01-01
33,New Hampshire,1976,1,593000.0,390460.0,65.8,364957.0,61.5,25503.0,6.5,1976-01-01
34,New Jersey,1976,1,5358000.0,3294619.0,61.5,2957075.0,55.2,337544.0,10.2,1976-01-01
35,New Mexico,1976,1,792000.0,480333.0,60.6,438991.0,55.4,41342.0,8.6,1976-01-01
36,New York,1976,1,13196000.0,7661586.0,58.1,6872892.0,52.1,788694.0,10.3,1976-01-01
51000,New York city,1976,1,5694000.0,3066821.0,53.9,2722796.0,47.8,344025.0,11.2,1976-01-01
37,North Carolina,1976,1,3898000.0,2595504.0,66.6,2426320.0,62.2,169184.0,6.5,1976-01-01
38,North Dakota,1976,1,442000.0,277046.0,62.7,267218.0,60.5,9828.0,3.5,1976-01-01
39,Ohio,1976,1,7701000.0,4750448.0,61.7,4367375.0,56.7,383073.0,8.1,1976-01-01
